Time(s),Voltage I/O-1(V)
0,0
0.002,0
0.004,0.002
0.006,0.001
0.008,-0.001
0.01,0
0.012,-0.001
0.014,0.002
0.016,0
0.018,0.002
0.02,0.001
0.022,0.001
0.024,0
0.026,0
0.028,-0.001
0.03,0.001
0.032,0
0.034,0
0.036,0
0.038,0
0.04,0
0.042,0.001
0.044,0
0.046,0.001
0.048,0
0.05,0
0.052,0
0.054,-0.001
0.056,0
0.058,0
0.06,0
0.062,0.002
0.064,0
0.066,0.001
0.068,0.001
0.07,0
0.072,0.002
0.074,0
0.076,0
0.078,0.002
0.08,0.001
0.082,0.005
0.084,0.001
0.086,0.001
0.088,0
0.09,0
0.092,0
0.094,0
0.096,-0.002
0.098,0.001
0.1,0.002
0.102,0.002
0.104,0
0.106,0
0.108,0.002
0.11,0
0.112,0
0.114,0
0.116,-0.004
0.118,-0.001
0.12,-0.001
0.122,-0.001
0.124,0.002
0.126,0.001
0.128,0
0.13,0
0.132,-0.001
0.134,-0.001
0.136,-0.002
0.138,-0.002
0.14,0
0.142,0
0.144,-0.001
0.146,-0.001
0.148,0
0.15,-0.001
0.152,-0.004
0.154,-0.002
0.156,-0.002
0.158,-0.004
0.16,-0.002
0.162,-0.002
0.164,-0.005
0.166,-0.002
0.168,-0.002
0.17,-0.005
0.172,-0.004
0.174,-0.005
0.176,-0.005
0.178,-0.005
0.18,-0.005
0.182,-0.006
0.184,-0.007
0.186,-0.01
0.188,-0.005
0.19,-0.007
0.192,-0.007
0.194,-0.007
0.196,-0.011
0.198,-0.011
0.2,-0.011
0.202,-0.015
0.204,-0.013
0.206,-0.013
0.208,-0.013
0.21,-0.015
0.212,-0.015
0.214,-0.017
0.216,-0.017
0.218,-0.02
0.22,-0.021
0.222,-0.024
0.224,-0.022
0.226,-0.027
0.228,-0.026
0.23,-0.028
0.232,-0.031
0.234,-0.033
0.236,-0.033
0.238,-0.038
0.24,-0.039
0.242,-0.044
0.244,-0.048
0.246,-0.051
0.248,-0.054
0.25,-0.057
0.252,-0.062
0.254,-0.066
0.256,-0.072
0.258,-0.079
0.26,-0.085
0.262,-0.094
0.264,-0.1
0.266,-0.11
0.268,-0.117
0.27,-0.128
0.272,-0.138
0.274,-0.15
0.276,-0.161
0.278,-0.176
0.28,-0.189
0.282,-0.205
0.284,-0.222
0.286,-0.238
0.288,-0.256
0.29,-0.275
0.292,-0.293
0.294,-0.309
0.296,-0.325
0.298,-0.336
0.3,-0.345
0.302,-0.354
0.304,-0.356
0.306,-0.356
0.308,-0.35
0.31,-0.343
0.312,-0.33
0.314,-0.31
0.316,-0.287
0.318,-0.264
0.32,-0.238
0.322,-0.215
0.324,-0.188
0.326,-0.16
0.328,-0.132
0.33,-0.103
0.332,-0.078
0.334,-0.049
0.336,-0.022
0.338,-0.001
0.34,0.023
0.342,0.039
0.344,0.056
0.346,0.071
0.348,0.077
0.35,0.078
0.352,0.071
0.354,0.055
0.356,0.034
0.358,0.005
