Time(s),Voltage I/O-1(V)
0,0.002
0.002,0.002
0.004,0.001
0.006,0
0.008,-0.002
0.01,0
0.012,0
0.014,0
0.016,-0.001
0.018,0
0.02,0
0.022,0.002
0.024,0
0.026,0.001
0.028,0.001
0.03,0
0.032,0.002
0.034,0
0.036,-0.002
0.038,0.001
0.04,0.001
0.042,0.002
0.044,0
0.046,0
0.048,0.002
0.05,0
0.052,0
0.054,0
0.056,-0.001
0.058,0
0.06,0
0.062,0.002
0.064,0.002
0.066,0
0.068,0.002
0.07,0.001
0.072,0
0.074,-0.001
0.076,-0.004
0.078,-0.001
0.08,0.001
0.082,0.002
0.084,0.001
0.086,0
0.088,0
0.09,0.001
0.092,0
0.094,0.001
0.096,0.001
0.098,0
0.1,0
0.102,0
0.104,0
0.106,0
0.108,0.001
0.11,0.001
0.112,0.001
0.114,0.001
0.116,0
0.118,0
0.12,0
0.122,0
0.124,0
0.126,0
0.128,0.002
0.13,0
0.132,0
0.134,0
0.136,0.001
0.138,0.002
0.14,0.001
0.142,0
0.144,0
0.146,0.001
0.148,0.004
0.15,0
0.152,-0.001
0.154,0
0.156,0
0.158,0.001
0.16,0.001
0.162,0
0.164,0.001
0.166,0.001
0.168,0.002
0.17,0.001
0.172,0
0.174,0.001
0.176,0.001
0.178,0.001
0.18,0.001
0.182,-0.002
0.184,0
0.186,0.001
0.188,0.001
0.19,0.001
0.192,0.002
0.194,0.001
0.196,0.001
0.198,-0.001
0.2,0
0.202,-0.004
0.204,-0.001
0.206,0.001
0.208,0
0.21,0.001
0.212,0.001
0.214,-0.001
0.216,0
0.218,0
0.22,0
0.222,0
0.224,0.001
0.226,0.001
0.228,0.001
0.23,0
0.232,0.001
0.234,0.002
0.236,0.001
0.238,0
0.24,0
0.242,0
0.244,0
0.246,-0.002
0.248,0
0.25,-0.001
0.252,-0.001
0.254,0.001
0.256,0
0.258,0
0.26,0
0.262,-0.001
0.264,0
0.266,-0.002
0.268,-0.001
0.27,0
0.272,-0.001
0.274,-0.001
0.276,-0.001
0.278,0
0.28,0.001
0.282,-0.001
0.284,0
0.286,-0.001
0.288,-0.002
0.29,-0.002
0.292,-0.001
0.294,-0.004
0.296,-0.002
0.298,-0.002
0.3,-0.001
0.302,-0.002
0.304,-0.002
0.306,-0.002
0.308,-0.005
0.31,-0.002
0.312,-0.005
0.314,-0.005
0.316,-0.004
0.318,-0.005
0.32,-0.002
0.322,-0.004
0.324,-0.005
0.326,-0.006
0.328,-0.005
0.33,-0.005
0.332,-0.005
0.334,-0.007
0.336,-0.007
0.338,-0.007
0.34,-0.007
0.342,-0.01
0.344,-0.011
0.346,-0.012
0.348,-0.01
0.35,-0.015
0.352,-0.016
0.354,-0.017
0.356,-0.017
0.358,-0.02
0.36,-0.021
0.362,-0.023
0.364,-0.023
0.366,-0.026
0.368,-0.029
0.37,-0.034
0.372,-0.039
0.374,-0.044
0.376,-0.046
0.378,-0.051
0.38,-0.057
0.382,-0.063
0.384,-0.071
0.386,-0.079
0.388,-0.092
0.39,-0.103
0.392,-0.118
0.394,-0.134
0.396,-0.153
0.398,-0.176
0.4,-0.2
0.402,-0.233
0.404,-0.272
0.406,-0.312
0.408,-0.359
0.41,-0.411
0.412,-0.467
0.414,-0.529
0.416,-0.579
0.418,-0.62
0.42,-0.646
0.422,-0.643
0.424,-0.618
0.426,-0.568
0.428,-0.505
0.43,-0.435
0.432,-0.356
0.434,-0.28
0.436,-0.205
0.438,-0.132
0.44,-0.066
0.442,-0.004
0.444,0.055
0.446,0.099
0.448,0.133
0.45,0.146
0.452,0.131
0.454,0.088
0.456,0.017
0.458,-0.056
0.46,-0.122
0.462,-0.159
0.464,-0.167
0.466,-0.156
0.468,-0.132
0.47,-0.1
0.472,-0.067
0.474,-0.032
0.476,0.002
0.478,0.039
0.48,0.073
0.482,0.103
0.484,0.122
0.486,0.121
0.488,0.088
0.49,0.029
0.492,-0.049
0.494,-0.111
0.496,-0.144
0.498,-0.146
0.5,-0.125
0.502,-0.087
0.504,-0.037
0.506,0.023
0.508,0.085
0.51,0.151
0.512,0.212
0.514,0.266
0.516,0.303
0.518,0.306
0.52,0.255
0.522,0.14
0.524,-0.02
0.526,-0.181
0.528,-0.293
0.53,-0.339
0.532,-0.323
0.534,-0.275
0.536,-0.207
0.538,-0.131
0.54,-0.056
0.542,0.016
0.544,0.087
0.546,0.149
0.548,0.19
0.55,0.193
0.552,0.132
0.554,0.021
0.556,-0.094
0.558,-0.144
0.56,-0.121
0.562,-0.046
0.564,0.062
0.566,0.186
0.568,0.316
0.57,0.454
0.572,0.598
0.574,0.758
0.576,0.908
0.578,1.013
0.58,1.013
0.582,-0.538
0.584,-0.435
0.586,-0.397
0.588,-0.391
0.59,-0.36
0.592,-0.328
0.594,-0.301
0.596,-0.273
0.598,-0.244
0.6,-0.217
0.602,-0.194
0.604,-0.172
0.606,-0.149
0.608,-0.133
0.61,-0.116
0.612,-0.103
0.614,-0.09
0.616,-0.077
0.618,-0.065
0.62,-0.056
0.622,-0.045
0.624,-0.037
0.626,-0.031
0.628,-0.02
0.63,-0.015
0.632,-0.007
0.634,0.001
0.636,0.005
0.638,0.011
0.64,0.012
0.642,0.013
0.644,0.018
0.646,0.02
